track_id,class_id,track_length,first_frame,last_frame
1,2,672,0,673
2,2,782,0,781
3,2,68,0,67
5,2,897,0,911
6,2,681,0,717
7,2,23,0,22
8,2,208,0,211
9,2,386,0,419
10,7,217,0,241
13,2,64,0,196
14,2,35,0,46
15,2,24,3,27
18,2,14,9,45
19,5,3,13,15
20,2,33,13,45
21,7,18,26,45
23,2,215,49,272
24,2,266,59,337
29,2,5,67,73
30,2,10,69,80
33,5,6,83,88
37,2,26,87,118
42,2,77,103,182
43,2,3,109,111
44,2,802,109,911
45,2,328,117,538
48,2,53,133,238
49,2,25,141,167
53,2,87,169,261
54,7,4,170,173
56,2,18,171,192
57,2,27,192,223
59,7,1,195,195
64,7,7,201,207
67,2,7,211,217
68,2,2,211,212
69,7,4,217,220
71,2,13,223,245
72,2,104,225,420
73,2,329,237,615
76,2,160,251,410
78,2,641,253,911
79,5,157,261,455
81,2,78,264,343
82,2,94,268,361
83,2,2,276,277
85,2,2,283,284
86,2,1,289,289
87,7,1,291,291
89,2,5,297,301
91,7,1,305,305
92,7,1,310,310
93,2,7,319,325
94,2,1,321,321
97,2,152,337,680
101,2,74,366,458
102,2,484,428,911
104,2,97,437,557
105,2,379,439,911
108,2,18,453,470
110,7,9,457,465
111,7,2,469,470
116,5,8,516,523
118,2,383,529,911
119,2,6,536,541
120,2,1,545,545
123,2,69,559,627
124,7,2,567,568
127,2,66,576,641
129,2,19,600,881
131,2,332,579,911
132,7,1,592,592
133,2,1,595,595
134,7,9,605,613
136,2,20,611,631
138,2,196,618,821
140,2,1,625,625
142,2,138,636,780
144,2,85,648,733
148,2,54,657,710
149,2,162,670,832
150,2,9,673,683
151,2,21,675,695
153,2,3,689,691
156,2,21,703,723
157,2,199,709,911
158,2,4,714,717
160,7,13,727,739
161,2,14,735,751
162,2,14,738,751
163,5,3,745,747
166,7,7,749,755
167,2,2,753,754
168,2,109,756,865
169,7,3,757,759
170,2,7,759,765
171,2,2,765,766
172,2,73,772,847
173,2,1,768,768
175,2,5,772,776
177,2,137,775,911
178,2,2,780,781
180,7,72,783,874
182,2,16,786,807
183,2,12,787,825
184,2,119,789,907
185,2,2,805,806
190,7,89,823,911
193,2,20,834,853
194,2,48,840,892
196,2,63,849,911
197,2,60,852,911
202,2,29,874,911
203,2,20,892,911
